codigo_provincia;provincia;comunidad_autonoma;sector;salario_medio_anual_eur;perceptores_estimados
01;Araba/Álava;País Vasco;Información y comunicaciones (Tech);38900.0;7483
01;Araba/Álava;País Vasco;Hostelería;20500.0;19678
02;Albacete;Castilla - La Mancha;Información y comunicaciones (Tech);29500.0;1323
02;Albacete;Castilla - La Mancha;Hostelería;17200.0;7339
03;Alicante/Alacant;Comunitat Valenciana;Información y comunicaciones (Tech);31200.0;4201
03;Alicante/Alacant;Comunitat Valenciana;Hostelería;18100.0;8643
04;Almería;Andalucía;Información y comunicaciones (Tech);29100.0;6736
04;Almería;Andalucía;Hostelería;17500.0;13398
05;Ávila;Castilla y León;Información y comunicaciones (Tech);28800.0;3608
05;Ávila;Castilla y León;Hostelería;16900.0;16831
06;Badajoz;Extremadura;Información y comunicaciones (Tech);28500.0;2379
06;Badajoz;Extremadura;Hostelería;16800.0;2758
07;Balears, Illes;Balears, Illes;Información y comunicaciones (Tech);33100.0;4887
07;Balears, Illes;Balears, Illes;Hostelería;20400.0;71734
08;Barcelona;Cataluña;Información y comunicaciones (Tech);39200.0;39815
08;Barcelona;Cataluña;Hostelería;20300.0;81440
09;Burgos;Castilla y León;Información y comunicaciones (Tech);32100.0;3201
09;Burgos;Castilla y León;Hostelería;18200.0;7354
10;Cáceres;Extremadura;Información y comunicaciones (Tech);28200.0;2636
10;Cáceres;Extremadura;Hostelería;16700.0;19038
11;Cádiz;Andalucía;Información y comunicaciones (Tech);30500.0;1888
11;Cádiz;Andalucía;Hostelería;17400.0;6993
12;Castellón/Castelló;Comunitat Valenciana;Información y comunicaciones (Tech);31800.0;1996
12;Castellón/Castelló;Comunitat Valenciana;Hostelería;17900.0;15554
13;Ciudad Real;Castilla - La Mancha;Información y comunicaciones (Tech);29800.0;2050
13;Ciudad Real;Castilla - La Mancha;Hostelería;17100.0;21630
14;Córdoba;Andalucía;Información y comunicaciones (Tech);29700.0;7316
14;Córdoba;Andalucía;Hostelería;17100.0;8465
15;A Coruña;Galicia;Información y comunicaciones (Tech);33500.0;7352
15;A Coruña;Galicia;Hostelería;18200.0;15942
16;Cuenca;Castilla - La Mancha;Información y comunicaciones (Tech);28600.0;6523
16;Cuenca;Castilla - La Mancha;Hostelería;16800.0;19750
17;Girona;Cataluña;Información y comunicaciones (Tech);34100.0;3258
17;Girona;Cataluña;Hostelería;19200.0;17549
18;Granada;Andalucía;Información y comunicaciones (Tech);30200.0;7780
18;Granada;Andalucía;Hostelería;17300.0;6363
19;Guadalajara;Castilla - La Mancha;Información y comunicaciones (Tech);32500.0;2689
19;Guadalajara;Castilla - La Mancha;Hostelería;17800.0;7841
20;Gipuzkoa;País Vasco;Información y comunicaciones (Tech);39500.0;5270
20;Gipuzkoa;País Vasco;Hostelería;20800.0;11795
21;Huelva;Andalucía;Información y comunicaciones (Tech);29300.0;7667
21;Huelva;Andalucía;Hostelería;17000.0;8031
22;Huesca;Aragón;Información y comunicaciones (Tech);31100.0;7101
22;Huesca;Aragón;Hostelería;18000.0;5066
23;Jaén;Andalucía;Información y comunicaciones (Tech);28400.0;776
23;Jaén;Andalucía;Hostelería;16600.0;22637
24;León;Castilla y León;Información y comunicaciones (Tech);30400.0;5785
24;León;Castilla y León;Hostelería;17500.0;21837
25;Lleida;Cataluña;Información y comunicaciones (Tech);32800.0;5225
25;Lleida;Cataluña;Hostelería;18400.0;13612
26;La Rioja;Rioja, La;Información y comunicaciones (Tech);31100.0;5608
26;La Rioja;Rioja, La;Hostelería;17750.0;24251
27;Lugo;Galicia;Información y comunicaciones (Tech);29600.0;1605
27;Lugo;Galicia;Hostelería;17100.0;17471
28;Madrid;Madrid, Comunidad de;Información y comunicaciones (Tech);44250.0;40357
28;Madrid;Madrid, Comunidad de;Hostelería;21850.0;113995
29;Málaga;Andalucía;Información y comunicaciones (Tech);34800.0;5879
29;Málaga;Andalucía;Hostelería;18600.0;88752
30;Murcia;Murcia, Región de;Información y comunicaciones (Tech);30200.0;2067
30;Murcia;Murcia, Región de;Hostelería;17400.0;3804
