id_trabajador;comunidad_autonoma;sector;tipo_jornada;genero;edad;salario_bruto_anual_eur;salario_bruto_mensual_eur
TRAB_00001;Canarias;Información y comunicaciones (Tech);Tiempo completo;Hombres;60;23748.56;1696.33
TRAB_00002;Cataluña;Hostelería;Tiempo completo;Mujeres;23;19503.41;1393.1
TRAB_00003;Balears, Illes;Hostelería;Tiempo completo;Mujeres;54;20967.85;1497.7
TRAB_00004;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;49;22780.48;1627.18
TRAB_00005;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;24;21668.04;1547.72
TRAB_00006;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;30;12831.42;916.53
TRAB_00007;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Mujeres;29;47402.9;3385.92
TRAB_00008;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;39;21012.41;1500.89
TRAB_00009;Balears, Illes;Hostelería;Tiempo parcial;Mujeres;36;10745.57;767.54
TRAB_00010;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;62;37290.07;2663.58
TRAB_00011;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;22;45239.11;3231.37
TRAB_00012;País Vasco;Hostelería;Tiempo completo;Hombres;62;21050.99;1503.64
TRAB_00013;Castilla y León;Hostelería;Tiempo completo;Hombres;44;22348.69;1596.33
TRAB_00014;Cataluña;Hostelería;Tiempo completo;Hombres;35;24933.99;1781.0
TRAB_00015;País Vasco;Hostelería;Tiempo completo;Hombres;48;10500.0;750.0
TRAB_00016;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo completo;Hombres;53;47397.12;3385.51
TRAB_00017;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;50;10500.0;750.0
TRAB_00018;Galicia;Hostelería;Tiempo parcial;Mujeres;49;10500.0;750.0
TRAB_00019;Cataluña;Información y comunicaciones (Tech);Tiempo parcial;Hombres;49;25584.21;1827.44
TRAB_00020;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Hombres;24;29698.12;2121.29
TRAB_00021;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;63;36076.43;2576.89
TRAB_00022;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;33;30505.45;2178.96
TRAB_00023;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Hombres;38;28024.11;2001.72
TRAB_00024;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Hombres;47;31242.51;2231.61
TRAB_00025;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;38;10500.0;750.0
TRAB_00026;Comunitat Valenciana;Hostelería;Tiempo completo;Hombres;54;23036.06;1645.43
TRAB_00027;Andalucía;Información y comunicaciones (Tech);Tiempo completo;Mujeres;57;32082.3;2291.59
TRAB_00028;Comunitat Valenciana;Información y comunicaciones (Tech);Tiempo completo;Mujeres;60;28710.15;2050.72
TRAB_00029;Madrid, Comunidad de;Hostelería;Tiempo completo;Hombres;44;27489.28;1963.52
TRAB_00030;Madrid, Comunidad de;Información y comunicaciones (Tech);Tiempo parcial;Hombres;23;23962.05;1711.58
TRAB_00031;Canarias;Hostelería;Tiempo completo;Mujeres;30;21359.24;1525.66
TRAB_00032;Castilla y León;Hostelería;Tiempo completo;Mujeres;32;13240.68;945.76
TRAB_00033;Galicia;Hostelería;Tiempo parcial;Mujeres;46;10500.0;750.0
TRAB_00034;Comunitat Valenciana;Hostelería;Tiempo completo;Mujeres;54;12632.58;902.33
TRAB_00035;Madrid, Comunidad de;Hostelería;Tiempo completo;Mujeres;24;23288.24;1663.45
TRAB_00036;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;59;57071.14;4076.51
TRAB_00037;Andalucía;Hostelería;Tiempo parcial;Hombres;42;15640.73;1117.19
TRAB_00038;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;56;11206.28;800.45
TRAB_00039;Madrid, Comunidad de;Hostelería;Tiempo parcial;Hombres;27;10726.91;766.21
TRAB_00040;Canarias;Hostelería;Tiempo parcial;Hombres;42;11253.75;803.84
TRAB_00041;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Hombres;63;41558.63;2968.47
TRAB_00042;Madrid, Comunidad de;Hostelería;Tiempo parcial;Mujeres;23;11847.7;846.26
TRAB_00043;Cataluña;Información y comunicaciones (Tech);Tiempo completo;Mujeres;30;31368.93;2240.64
