codigo_ccaa;comunidad_autonoma;sector;periodo;coste_salarial_mensual_eur;coste_salarial_hora_efectiva_eur
01;Andalucía;Información y comunicaciones (Tech);2024T1;2450.2;16.2
01;Andalucía;Hostelería;2024T1;1380.5;9.8
01;Andalucía;Información y comunicaciones (Tech);2024T2;2450.2;16.2
01;Andalucía;Hostelería;2024T2;1380.5;9.8
01;Andalucía;Información y comunicaciones (Tech);2024T3;2450.2;16.2
01;Andalucía;Hostelería;2024T3;1380.5;9.8
01;Andalucía;Información y comunicaciones (Tech);2024T4;2450.2;16.2
01;Andalucía;Hostelería;2024T4;1380.5;9.8
01;Andalucía;Información y comunicaciones (Tech);2025T1;2450.2;16.2
01;Andalucía;Hostelería;2025T1;1380.5;9.8
01;Andalucía;Información y comunicaciones (Tech);2025T2;2450.2;16.2
01;Andalucía;Hostelería;2025T2;1380.5;9.8
01;Andalucía;Información y comunicaciones (Tech);2025T3;2450.2;16.2
01;Andalucía;Hostelería;2025T3;1380.5;9.8
01;Andalucía;Información y comunicaciones (Tech);2025T4;2450.2;16.2
01;Andalucía;Hostelería;2025T4;1380.5;9.8
02;Aragón;Información y comunicaciones (Tech);2024T1;2580.4;17.1
02;Aragón;Hostelería;2024T1;1420.3;10.1
02;Aragón;Información y comunicaciones (Tech);2024T2;2580.4;17.1
02;Aragón;Hostelería;2024T2;1420.3;10.1
02;Aragón;Información y comunicaciones (Tech);2024T3;2580.4;17.1
02;Aragón;Hostelería;2024T3;1420.3;10.1
02;Aragón;Información y comunicaciones (Tech);2024T4;2580.4;17.1
02;Aragón;Hostelería;2024T4;1420.3;10.1
02;Aragón;Información y comunicaciones (Tech);2025T1;2580.4;17.1
02;Aragón;Hostelería;2025T1;1420.3;10.1
02;Aragón;Información y comunicaciones (Tech);2025T2;2580.4;17.1
02;Aragón;Hostelería;2025T2;1420.3;10.1
02;Aragón;Información y comunicaciones (Tech);2025T3;2580.4;17.1
02;Aragón;Hostelería;2025T3;1420.3;10.1
02;Aragón;Información y comunicaciones (Tech);2025T4;2580.4;17.1
02;Aragón;Hostelería;2025T4;1420.3;10.1
03;Asturias, Principado de;Información y comunicaciones (Tech);2024T1;2510.6;16.6
03;Asturias, Principado de;Hostelería;2024T1;1395.8;9.9
03;Asturias, Principado de;Información y comunicaciones (Tech);2024T2;2510.6;16.6
03;Asturias, Principado de;Hostelería;2024T2;1395.8;9.9
03;Asturias, Principado de;Información y comunicaciones (Tech);2024T3;2510.6;16.6
03;Asturias, Principado de;Hostelería;2024T3;1395.8;9.9
03;Asturias, Principado de;Información y comunicaciones (Tech);2024T4;2510.6;16.6
03;Asturias, Principado de;Hostelería;2024T4;1395.8;9.9
03;Asturias, Principado de;Información y comunicaciones (Tech);2025T1;2510.6;16.6
03;Asturias, Principado de;Hostelería;2025T1;1395.8;9.9
03;Asturias, Principado de;Información y comunicaciones (Tech);2025T2;2510.6;16.6
03;Asturias, Principado de;Hostelería;2025T2;1395.8;9.9
03;Asturias, Principado de;Información y comunicaciones (Tech);2025T3;2510.6;16.6
03;Asturias, Principado de;Hostelería;2025T3;1395.8;9.9
03;Asturias, Principado de;Información y comunicaciones (Tech);2025T4;2510.6;16.6
03;Asturias, Principado de;Hostelería;2025T4;1395.8;9.9
04;Balears, Illes;Información y comunicaciones (Tech);2024T1;2620.8;17.4
04;Balears, Illes;Hostelería;2024T1;1580.4;11.2
04;Balears, Illes;Información y comunicaciones (Tech);2024T2;2620.8;17.4
04;Balears, Illes;Hostelería;2024T2;1580.4;11.2
04;Balears, Illes;Información y comunicaciones (Tech);2024T3;2620.8;17.4
04;Balears, Illes;Hostelería;2024T3;1580.4;11.2
04;Balears, Illes;Información y comunicaciones (Tech);2024T4;2620.8;17.4
04;Balears, Illes;Hostelería;2024T4;1580.4;11.2
04;Balears, Illes;Información y comunicaciones (Tech);2025T1;2620.8;17.4
04;Balears, Illes;Hostelería;2025T1;1580.4;11.2
04;Balears, Illes;Información y comunicaciones (Tech);2025T2;2620.8;17.4
04;Balears, Illes;Hostelería;2025T2;1580.4;11.2
04;Balears, Illes;Información y comunicaciones (Tech);2025T3;2620.8;17.4
04;Balears, Illes;Hostelería;2025T3;1580.4;11.2
04;Balears, Illes;Información y comunicaciones (Tech);2025T4;2620.8;17.4
04;Balears, Illes;Hostelería;2025T4;1580.4;11.2
05;Canarias;Información y comunicaciones (Tech);2024T1;2320.1;15.4
05;Canarias;Hostelería;2024T1;1460.9;10.4
05;Canarias;Información y comunicaciones (Tech);2024T2;2320.1;15.4
05;Canarias;Hostelería;2024T2;1460.9;10.4
05;Canarias;Información y comunicaciones (Tech);2024T3;2320.1;15.4
05;Canarias;Hostelería;2024T3;1460.9;10.4
05;Canarias;Información y comunicaciones (Tech);2024T4;2320.1;15.4
05;Canarias;Hostelería;2024T4;1460.9;10.4
05;Canarias;Información y comunicaciones (Tech);2025T1;2320.1;15.4
05;Canarias;Hostelería;2025T1;1460.9;10.4
05;Canarias;Información y comunicaciones (Tech);2025T2;2320.1;15.4
05;Canarias;Hostelería;2025T2;1460.9;10.4
05;Canarias;Información y comunicaciones (Tech);2025T3;2320.1;15.4
05;Canarias;Hostelería;2025T3;1460.9;10.4
05;Canarias;Información y comunicaciones (Tech);2025T4;2320.1;15.4
05;Canarias;Hostelería;2025T4;1460.9;10.4
06;Cantabria;Información y comunicaciones (Tech);2024T1;2420.3;16.0
06;Cantabria;Hostelería;2024T1;1360.2;9.7
06;Cantabria;Información y comunicaciones (Tech);2024T2;2420.3;16.0
06;Cantabria;Hostelería;2024T2;1360.2;9.7
06;Cantabria;Información y comunicaciones (Tech);2024T3;2420.3;16.0
06;Cantabria;Hostelería;2024T3;1360.2;9.7
06;Cantabria;Información y comunicaciones (Tech);2024T4;2420.3;16.0
06;Cantabria;Hostelería;2024T4;1360.2;9.7
06;Cantabria;Información y comunicaciones (Tech);2025T1;2420.3;16.0
06;Cantabria;Hostelería;2025T1;1360.2;9.7
06;Cantabria;Información y comunicaciones (Tech);2025T2;2420.3;16.0
06;Cantabria;Hostelería;2025T2;1360.2;9.7
06;Cantabria;Información y comunicaciones (Tech);2025T3;2420.3;16.0
06;Cantabria;Hostelería;2025T3;1360.2;9.7
06;Cantabria;Información y comunicaciones (Tech);2025T4;2420.3;16.0
06;Cantabria;Hostelería;2025T4;1360.2;9.7
07;Castilla y León;Información y comunicaciones (Tech);2024T1;2470.5;16.3
07;Castilla y León;Hostelería;2024T1;1385.4;9.85
07;Castilla y León;Información y comunicaciones (Tech);2024T2;2470.5;16.3
07;Castilla y León;Hostelería;2024T2;1385.4;9.85
07;Castilla y León;Información y comunicaciones (Tech);2024T3;2470.5;16.3
07;Castilla y León;Hostelería;2024T3;1385.4;9.85
07;Castilla y León;Información y comunicaciones (Tech);2024T4;2470.5;16.3
07;Castilla y León;Hostelería;2024T4;1385.4;9.85
07;Castilla y León;Información y comunicaciones (Tech);2025T1;2470.5;16.3
07;Castilla y León;Hostelería;2025T1;1385.4;9.85
07;Castilla y León;Información y comunicaciones (Tech);2025T2;2470.5;16.3
07;Castilla y León;Hostelería;2025T2;1385.4;9.85
07;Castilla y León;Información y comunicaciones (Tech);2025T3;2470.5;16.3
07;Castilla y León;Hostelería;2025T3;1385.4;9.85
07;Castilla y León;Información y comunicaciones (Tech);2025T4;2470.5;16.3
07;Castilla y León;Hostelería;2025T4;1385.4;9.85
08;Castilla - La Mancha;Información y comunicaciones (Tech);2024T1;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2024T1;1350.6;9.6
08;Castilla - La Mancha;Información y comunicaciones (Tech);2024T2;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2024T2;1350.6;9.6
08;Castilla - La Mancha;Información y comunicaciones (Tech);2024T3;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2024T3;1350.6;9.6
08;Castilla - La Mancha;Información y comunicaciones (Tech);2024T4;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2024T4;1350.6;9.6
08;Castilla - La Mancha;Información y comunicaciones (Tech);2025T1;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2025T1;1350.6;9.6
08;Castilla - La Mancha;Información y comunicaciones (Tech);2025T2;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2025T2;1350.6;9.6
08;Castilla - La Mancha;Información y comunicaciones (Tech);2025T3;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2025T3;1350.6;9.6
08;Castilla - La Mancha;Información y comunicaciones (Tech);2025T4;2390.8;15.8
08;Castilla - La Mancha;Hostelería;2025T4;1350.6;9.6
09;Cataluña;Información y comunicaciones (Tech);2024T1;3020.9;20.1
09;Cataluña;Hostelería;2024T1;1560.8;11.1
09;Cataluña;Información y comunicaciones (Tech);2024T2;3020.9;20.1
09;Cataluña;Hostelería;2024T2;1560.8;11.1
09;Cataluña;Información y comunicaciones (Tech);2024T3;3020.9;20.1
09;Cataluña;Hostelería;2024T3;1560.8;11.1
09;Cataluña;Información y comunicaciones (Tech);2024T4;3020.9;20.1
09;Cataluña;Hostelería;2024T4;1560.8;11.1
09;Cataluña;Información y comunicaciones (Tech);2025T1;3020.9;20.1
09;Cataluña;Hostelería;2025T1;1560.8;11.1
09;Cataluña;Información y comunicaciones (Tech);2025T2;3020.9;20.1
09;Cataluña;Hostelería;2025T2;1560.8;11.1
09;Cataluña;Información y comunicaciones (Tech);2025T3;3020.9;20.1
09;Cataluña;Hostelería;2025T3;1560.8;11.1
09;Cataluña;Información y comunicaciones (Tech);2025T4;3020.9;20.1
09;Cataluña;Hostelería;2025T4;1560.8;11.1
10;Comunitat Valenciana;Información y comunicaciones (Tech);2024T1;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2024T1;1410.7;10.0
10;Comunitat Valenciana;Información y comunicaciones (Tech);2024T2;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2024T2;1410.7;10.0
10;Comunitat Valenciana;Información y comunicaciones (Tech);2024T3;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2024T3;1410.7;10.0
10;Comunitat Valenciana;Información y comunicaciones (Tech);2024T4;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2024T4;1410.7;10.0
10;Comunitat Valenciana;Información y comunicaciones (Tech);2025T1;2560.3;16.9
10;Comunitat Valenciana;Hostelería;2025T1;1410.7;10.0
