codigo_cnae,descripcion_cnae,sexo,anio,periodo,salario_medio_anual_bruto_eur
B_S,Todas las secciones,Ambos sexos,2024,2024,29540.26
B_S,Todas las secciones,Ambos sexos,2023,2023,28049.94
B_S,Todas las secciones,Ambos sexos,2022,2022,26948.87
B_S,Todas las secciones,Ambos sexos,2021,2021,25896.82
B_S,Todas las secciones,Ambos sexos,2020,2020,25165.51
B_S,Todas las secciones,Ambos sexos,2019,2019,24395.98
B_S,Todas las secciones,Ambos sexos,2018,2018,24009.12
B_S,Todas las secciones,Ambos sexos,2017,2017,23646.5
B_S,Todas las secciones,Ambos sexos,2016,2016,23156.34
B_S,Todas las secciones,Ambos sexos,2015,2015,23106.3
B_S,Todas las secciones,Ambos sexos,2014,2014,22858.17
B_S,Todas las secciones,Ambos sexos,2013,2013,22697.86
B_S,Todas las secciones,Ambos sexos,2012,2012,22726.44
B_S,Todas las secciones,Ambos sexos,2011,2011,22899.35
B_S,Todas las secciones,Ambos sexos,2010,2010,22790.2
B_S,Todas las secciones,Ambos sexos,2009,2009,22511.47
B_S,Todas las secciones,Ambos sexos,2008,2008,21883.42
B_S,Todas las secciones,Mujeres,2024,2024,26904.9
B_S,Todas las secciones,Mujeres,2023,2023,25591.31
B_S,Todas las secciones,Mujeres,2022,2022,24359.82
B_S,Todas las secciones,Mujeres,2021,2021,23175.95
B_S,Todas las secciones,Mujeres,2020,2020,22467.48
B_S,Todas las secciones,Mujeres,2019,2019,21682.02
B_S,Todas las secciones,Mujeres,2018,2018,21011.89
B_S,Todas las secciones,Mujeres,2017,2017,20607.85
B_S,Todas las secciones,Mujeres,2016,2016,20131.41
B_S,Todas las secciones,Mujeres,2015,2015,20051.58
B_S,Todas las secciones,Mujeres,2014,2014,19744.82
B_S,Todas las secciones,Mujeres,2013,2013,19514.58
B_S,Todas las secciones,Mujeres,2012,2012,19537.33
B_S,Todas las secciones,Mujeres,2011,2011,19767.59
B_S,Todas las secciones,Mujeres,2010,2010,19735.22
B_S,Todas las secciones,Mujeres,2009,2009,19502.02
B_S,Todas las secciones,Mujeres,2008,2008,18910.62
B_S,Todas las secciones,Hombres,2024,2024,32057.55
B_S,Todas las secciones,Hombres,2023,2023,30372.49
B_S,Todas las secciones,Hombres,2022,2022,29381.84
B_S,Todas las secciones,Hombres,2021,2021,28388.69
B_S,Todas las secciones,Hombres,2020,2020,27642.52
B_S,Todas las secciones,Hombres,2019,2019,26934.38
B_S,Todas las secciones,Hombres,2018,2018,26738.19
B_S,Todas las secciones,Hombres,2017,2017,26391.84
B_S,Todas las secciones,Hombres,2016,2016,25924.43
B_S,Todas las secciones,Hombres,2015,2015,25992.76
B_S,Todas las secciones,Hombres,2014,2014,25727.24
B_S,Todas las secciones,Hombres,2013,2013,25675.17
B_S,Todas las secciones,Hombres,2012,2012,25682.05
B_S,Todas las secciones,Hombres,2011,2011,25667.89
B_S,Todas las secciones,Hombres,2010,2010,25479.74
B_S,Todas las secciones,Hombres,2009,2009,25001.05
B_S,Todas las secciones,Hombres,2008,2008,24203.33
B,Industrias extractivas,Ambos sexos,2024,2024,41951.74
B,Industrias extractivas,Ambos sexos,2023,2023,38869.23
B,Industrias extractivas,Ambos sexos,2022,2022,36308.58
B,Industrias extractivas,Ambos sexos,2021,2021,34866.39
B,Industrias extractivas,Ambos sexos,2020,2020,34424.68
B,Industrias extractivas,Ambos sexos,2019,2019,34159.42
B,Industrias extractivas,Ambos sexos,2018,2018,33990.57
B,Industrias extractivas,Ambos sexos,2017,2017,32555.75
B,Industrias extractivas,Ambos sexos,2016,2016,32400.69
B,Industrias extractivas,Ambos sexos,2015,2015,32494.07
B,Industrias extractivas,Ambos sexos,2014,2014,32971.21
B,Industrias extractivas,Ambos sexos,2013,2013,31389.5
B,Industrias extractivas,Ambos sexos,2012,2012,30236.84
B,Industrias extractivas,Ambos sexos,2011,2011,29223.47
B,Industrias extractivas,Ambos sexos,2010,2010,28373.35
B,Industrias extractivas,Ambos sexos,2009,2009,27051.36
B,Industrias extractivas,Ambos sexos,2008,2008,26647.03
B,Industrias extractivas,Mujeres,2024,2024,-51101.45
B,Industrias extractivas,Mujeres,2023,2023,-45189.94
B,Industrias extractivas,Mujeres,2022,2022,-42851.51
B,Industrias extractivas,Mujeres,2021,2021,-41919.95
B,Industrias extractivas,Mujeres,2020,2020,-40804.11
B,Industrias extractivas,Mujeres,2019,2019,-39732.29
B,Industrias extractivas,Mujeres,2018,2018,-38900.71
B,Industrias extractivas,Mujeres,2017,2017,-35259.06
B,Industrias extractivas,Mujeres,2016,2016,-35133.36
B,Industrias extractivas,Mujeres,2015,2015,-36885.69
B,Industrias extractivas,Mujeres,2014,2014,-38303.3
B,Industrias extractivas,Mujeres,2013,2013,-29485.44
B,Industrias extractivas,Mujeres,2012,2012,-27562.19
