tipo_jornada,codigo_cnae,descripcion_cnae,componente_coste,anio,trimestre,periodo,coste_salarial_mensual_eur
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2026,T1,2026-T1,2403.8
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2025,T4,2025-T4,2531.22
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2025,T3,2025-T3,2268.0
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2025,T2,2025-T2,2416.5
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2025,T1,2025-T1,2290.46
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2024,T4,2024-T4,2442.32
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2024,T3,2024-T3,2205.43
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2024,T2,2024-T2,2353.59
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2024,T1,2024-T1,2206.06
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2023,T4,2023-T4,2359.38
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2023,T3,2023-T3,2117.8
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2023,T2,2023-T2,2262.63
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2023,T1,2023-T1,2126.63
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2022,T4,2022-T4,2268.0
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2022,T3,2022-T3,2032.05
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2022,T2,2022-T2,2153.88
