anio,sector,genero,codigo_serie_ine,salario_medio_anual_bruto_eur
2019,Total nacional,Ambos sexos,EAES291,24395.98
2020,Total nacional,Ambos sexos,EAES291,25165.51
2021,Total nacional,Ambos sexos,EAES291,25896.82
2022,Total nacional,Ambos sexos,EAES291,26948.87
2023,Total nacional,Ambos sexos,EAES291,28049.94
2024,Total nacional,Ambos sexos,EAES291,29540.26
2019,Total nacional,Hombres,EAES253,26934.38
2020,Total nacional,Hombres,EAES253,27642.52
2021,Total nacional,Hombres,EAES253,28388.69
2022,Total nacional,Hombres,EAES253,29381.84
2023,Total nacional,Hombres,EAES253,30372.49
2024,Total nacional,Hombres,EAES253,32057.55
2019,Total nacional,Mujeres,EAES272,21682.02
2020,Total nacional,Mujeres,EAES272,22467.48
2021,Total nacional,Mujeres,EAES272,23175.95
2022,Total nacional,Mujeres,EAES272,24359.82
2023,Total nacional,Mujeres,EAES272,25591.31
2024,Total nacional,Mujeres,EAES272,26904.9
2019,Información y comunicaciones (Tech),Ambos sexos,EAES282,34641.28
2020,Información y comunicaciones (Tech),Ambos sexos,EAES282,35663.8
2021,Información y comunicaciones (Tech),Ambos sexos,EAES282,36630.48
2022,Información y comunicaciones (Tech),Ambos sexos,EAES282,37438.55
2023,Información y comunicaciones (Tech),Ambos sexos,EAES282,39674.43
2024,Información y comunicaciones (Tech),Ambos sexos,EAES282,42741.94
2019,Información y comunicaciones (Tech),Hombres,EAES244,36746.41
2020,Información y comunicaciones (Tech),Hombres,EAES244,37580.51
2021,Información y comunicaciones (Tech),Hombres,EAES244,38514.17
2022,Información y comunicaciones (Tech),Hombres,EAES244,39135.1
2023,Información y comunicaciones (Tech),Hombres,EAES244,41536.56
2024,Información y comunicaciones (Tech),Hombres,EAES244,45054.3
2019,Información y comunicaciones (Tech),Mujeres,EAES263,30898.57
2020,Información y comunicaciones (Tech),Mujeres,EAES263,32227.73
2021,Información y comunicaciones (Tech),Mujeres,EAES263,33225.56
2022,Información y comunicaciones (Tech),Mujeres,EAES263,34306.95
2023,Información y comunicaciones (Tech),Mujeres,EAES263,36392.76
2024,Información y comunicaciones (Tech),Mujeres,EAES263,38807.08
2019,Hostelería,Ambos sexos,EAES283,14561.75
2020,Hostelería,Ambos sexos,EAES283,14136.95
2021,Hostelería,Ambos sexos,EAES283,14632.81
2022,Hostelería,Ambos sexos,EAES283,16274.71
2023,Hostelería,Ambos sexos,EAES283,16985.78
2024,Hostelería,Ambos sexos,EAES283,17653.42
2019,Hostelería,Hombres,EAES245,16134.55
2020,Hostelería,Hombres,EAES245,15767.95
2021,Hostelería,Hombres,EAES245,16229.88
2022,Hostelería,Hombres,EAES245,17921.24
2023,Hostelería,Hombres,EAES245,18701.7
2024,Hostelería,Hombres,EAES245,19526.77
2019,Hostelería,Mujeres,EAES264,13410.37
2020,Hostelería,Mujeres,EAES264,12874.08
2021,Hostelería,Mujeres,EAES264,13388.55
2022,Hostelería,Mujeres,EAES264,15022.32
2023,Hostelería,Mujeres,EAES264,15676.28
2024,Hostelería,Mujeres,EAES264,16222.08
