anio;trimestre;periodo;sector;codigo_serie_ine;coste_hora_efectiva_eur
2024;T2;2024-T2;Total nacional;ETCL1767;17.63
2024;T3;2024-T3;Total nacional;ETCL1767;18.31
2024;T4;2024-T4;Total nacional;ETCL1767;19.21
2025;T1;2025-T1;Total nacional;ETCL1767;17.3
2025;T2;2025-T2;Total nacional;ETCL1767;18.54
2025;T3;2025-T3;Total nacional;ETCL1767;18.75
2025;T4;2025-T4;Total nacional;ETCL1767;19.84
2026;T1;2026-T1;Total nacional;ETCL1767;18.24
2024;T2;2024-T2;Información y comunicaciones (Tech);ETCL1867;23.47
2024;T3;2024-T3;Información y comunicaciones (Tech);ETCL1867;26.63
2024;T4;2024-T4;Información y comunicaciones (Tech);ETCL1867;26.05
2025;T1;2025-T1;Información y comunicaciones (Tech);ETCL1867;25.59
2025;T2;2025-T2;Información y comunicaciones (Tech);ETCL1867;24.68
2025;T3;2025-T3;Información y comunicaciones (Tech);ETCL1867;27.83
2025;T4;2025-T4;Información y comunicaciones (Tech);ETCL1867;27.16
2026;T1;2026-T1;Información y comunicaciones (Tech);ETCL1867;26.66
2024;T2;2024-T2;Hostelería;ETCL1868;11.31
2024;T3;2024-T3;Hostelería;ETCL1868;11.65
2024;T4;2024-T4;Hostelería;ETCL1868;12.34
2025;T1;2025-T1;Hostelería;ETCL1868;11.41
2025;T2;2025-T2;Hostelería;ETCL1868;11.71
2025;T3;2025-T3;Hostelería;ETCL1868;11.92
2025;T4;2025-T4;Hostelería;ETCL1868;12.68
2026;T1;2026-T1;Hostelería;ETCL1868;11.49
