Sexo;Secciones y divisiones de la CNAE-09;Media y percentiles;Periodo;Total
Ambos sexos;B_S Todas las secciones;Media;2022;26.948,87
Ambos sexos;B_S Todas las secciones;Percentil 10;2022;10.657,37
Ambos sexos;B_S Todas las secciones;Percentil 25;2022;15.913,52
Ambos sexos;B_S Todas las secciones;Percentil 50;2022;22.383,11
Ambos sexos;B_S Todas las secciones;Percentil 75;2022;33.561,62
Ambos sexos;B_S Todas las secciones;Percentil 90;2022;48.217,21
Ambos sexos;B Industrias extractivas;Media;2022;36.308,58
Ambos sexos;B Industrias extractivas;Percentil 10;2022;18.142,06
Ambos sexos;B Industrias extractivas;Percentil 25;2022;22.268,75
Ambos sexos;B Industrias extractivas;Percentil 50;2022;30.947,08
Ambos sexos;B Industrias extractivas;Percentil 75;2022;44.772,76
Ambos sexos;B Industrias extractivas;Percentil 90;2022;64.124,72
Ambos sexos;C Industria manufacturera;Media;2022;30.000,69
Ambos sexos;C Industria manufacturera;Percentil 10;2022;15.118,34
Ambos sexos;C Industria manufacturera;Percentil 25;2022;19.279,69
Ambos sexos;C Industria manufacturera;Percentil 50;2022;25.604,73
Ambos sexos;C Industria manufacturera;Percentil 75;2022;36.094,42
Ambos sexos;C Industria manufacturera;Percentil 90;2022;50.631,2
Ambos sexos;10 Industria de la alimentación;Media;2022;24.001,63
Ambos sexos;10 Industria de la alimentación;Percentil 10;2022;13.535,03
Ambos sexos;10 Industria de la alimentación;Percentil 25;2022;16.451,15
Ambos sexos;10 Industria de la alimentación;Percentil 50;2022;21.120
Ambos sexos;10 Industria de la alimentación;Percentil 75;2022;27.726,88
Ambos sexos;10 Industria de la alimentación;Percentil 90;2022;38.069,67
Ambos sexos;11 Fabricación de bebidas;Media;2022;34.075,92
Ambos sexos;11 Fabricación de bebidas;Percentil 10;2022;15.514,46
Ambos sexos;11 Fabricación de bebidas;Percentil 25;2022;20.636,53
Ambos sexos;11 Fabricación de bebidas;Percentil 50;2022;28.598
Ambos sexos;11 Fabricación de bebidas;Percentil 75;2022;43.235,11
Ambos sexos;11 Fabricación de bebidas;Percentil 90;2022;59.883,65
Ambos sexos;12 Industria del tabaco;Media;2022;-47.461,58
Ambos sexos;12 Industria del tabaco;Percentil 10;2022;-19.241,58
Ambos sexos;12 Industria del tabaco;Percentil 25;2022;-26.657,12
Ambos sexos;12 Industria del tabaco;Percentil 50;2022;-43.398,65
Ambos sexos;12 Industria del tabaco;Percentil 75;2022;-63.910,91
Ambos sexos;12 Industria del tabaco;Percentil 90;2022;-74.553,46
Ambos sexos;13 Industria textil;Media;2022;23.191,77
Ambos sexos;13 Industria textil;Percentil 10;2022;13.044,53
Ambos sexos;13 Industria textil;Percentil 25;2022;15.853,45
Ambos sexos;13 Industria textil;Percentil 50;2022;19.608,03
Ambos sexos;13 Industria textil;Percentil 75;2022;26.124,78
Ambos sexos;13 Industria textil;Percentil 90;2022;36.404,39
Ambos sexos;14 Confección de prendas de vestir;Media;2022;22.710,84
Ambos sexos;14 Confección de prendas de vestir;Percentil 10;2022;9.115,2
Ambos sexos;14 Confección de prendas de vestir;Percentil 25;2022;14.114,67
Ambos sexos;14 Confección de prendas de vestir;Percentil 50;2022;16.786,62
Ambos sexos;14 Confección de prendas de vestir;Percentil 75;2022;24.477
Ambos sexos;14 Confección de prendas de vestir;Percentil 90;2022;45.829,16
Ambos sexos;15 Industria del cuero y del calzado;Media;2022;19.373,71
Ambos sexos;15 Industria del cuero y del calzado;Percentil 10;2022;12.460,75
Ambos sexos;15 Industria del cuero y del calzado;Percentil 25;2022;15.272,26
Ambos sexos;15 Industria del cuero y del calzado;Percentil 50;2022;17.487,38
Ambos sexos;15 Industria del cuero y del calzado;Percentil 75;2022;21.703,59
Ambos sexos;15 Industria del cuero y del calzado;Percentil 90;2022;27.797,18
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Media;2022;22.627,53
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Percentil 10;2022;14.411,12
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Percentil 25;2022;16.803,46
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Percentil 50;2022;20.335,19
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Percentil 75;2022;25.204,55
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Percentil 90;2022;34.091,63
Ambos sexos;17 Industria del papel;Media;2022;30.975,33
Ambos sexos;17 Industria del papel;Percentil 10;2022;15.654,14
Ambos sexos;17 Industria del papel;Percentil 25;2022;19.395,91
Ambos sexos;17 Industria del papel;Percentil 50;2022;26.672,06
Ambos sexos;17 Industria del papel;Percentil 75;2022;37.288,65
Ambos sexos;17 Industria del papel;Percentil 90;2022;51.943,3
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Media;2022;24.512,87
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Percentil 10;2022;12.922,66
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Percentil 25;2022;16.265,04
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Percentil 50;2022;20.888,91
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Percentil 75;2022;28.911,19
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Percentil 90;2022;40.657,16
Ambos sexos;19 Coquerías y refino de petróleo;Media;2022;-65.598,74
Ambos sexos;19 Coquerías y refino de petróleo;Percentil 10;2022;-42.705,51
Ambos sexos;19 Coquerías y refino de petróleo;Percentil 25;2022;-55.473,95
Ambos sexos;19 Coquerías y refino de petróleo;Percentil 50;2022;-66.021,56
Ambos sexos;19 Coquerías y refino de petróleo;Percentil 75;2022;-77.646,83
Ambos sexos;19 Coquerías y refino de petróleo;Percentil 90;2022;-87.347,19
Ambos sexos;20 Industria química;Media;2022;38.026,36
Ambos sexos;20 Industria química;Percentil 10;2022;17.910,31
Ambos sexos;20 Industria química;Percentil 25;2022;23.351,01
Ambos sexos;20 Industria química;Percentil 50;2022;33.269,38
Ambos sexos;20 Industria química;Percentil 75;2022;48.297,71
Ambos sexos;20 Industria química;Percentil 90;2022;64.768,02
Ambos sexos;21 Fabricación de productos farmacéuticos;Media;2022;42.744,7
Ambos sexos;21 Fabricación de productos farmacéuticos;Percentil 10;2022;22.377,21
Ambos sexos;21 Fabricación de productos farmacéuticos;Percentil 25;2022;28.228,24
Ambos sexos;21 Fabricación de productos farmacéuticos;Percentil 50;2022;37.230,39
Ambos sexos;21 Fabricación de productos farmacéuticos;Percentil 75;2022;50.667,82
Ambos sexos;21 Fabricación de productos farmacéuticos;Percentil 90;2022;71.959,24
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Media;2022;29.443,22
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Percentil 10;2022;16.740,12
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Percentil 25;2022;20.003,38
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Percentil 50;2022;25.992,98
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Percentil 75;2022;35.798,14
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Percentil 90;2022;45.948,86
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Media;2022;31.600,44
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Percentil 10;2022;16.849,17
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Percentil 25;2022;20.622,82
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Percentil 50;2022;26.987,71
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Percentil 75;2022;37.198,5
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Percentil 90;2022;52.432,1
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Media;2022;36.554,69
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Percentil 10;2022;20.228,9
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Percentil 25;2022;26.034,29
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Percentil 50;2022;34.492,77
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Percentil 75;2022;45.183,27
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Percentil 90;2022;54.202,46
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Media;2022;26.959,66
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Percentil 10;2022;16.331,97
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Percentil 25;2022;19.972,01
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Percentil 50;2022;24.463,68
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Percentil 75;2022;31.289,24
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Percentil 90;2022;39.940,44
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Media;2022;34.344,46
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Percentil 10;2022;18.058,06
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Percentil 25;2022;22.363,74
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Percentil 50;2022;28.701,28
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Percentil 75;2022;40.573,22
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Percentil 90;2022;64.135,01
Ambos sexos;27 Fabricación de material y equipo eléctrico;Media;2022;34.397,39
Ambos sexos;27 Fabricación de material y equipo eléctrico;Percentil 10;2022;18.822,42
Ambos sexos;27 Fabricación de material y equipo eléctrico;Percentil 25;2022;23.554,95
Ambos sexos;27 Fabricación de material y equipo eléctrico;Percentil 50;2022;30.543,23
Ambos sexos;27 Fabricación de material y equipo eléctrico;Percentil 75;2022;39.999,96
Ambos sexos;27 Fabricación de material y equipo eléctrico;Percentil 90;2022;55.788,98
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Media;2022;33.992,35
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Percentil 10;2022;19.260,22
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Percentil 25;2022;23.246,32
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Percentil 50;2022;30.156,24
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Percentil 75;2022;39.829
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Percentil 90;2022;52.510,68
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Media;2022;36.294,4
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Percentil 10;2022;20.087,82
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Percentil 25;2022;26.265,88
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Percentil 50;2022;33.187,5
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Percentil 75;2022;44.849,98
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Percentil 90;2022;55.676,22
Ambos sexos;30 Fabricación de otro material de transporte;Media;2022;46.820,55
Ambos sexos;30 Fabricación de otro material de transporte;Percentil 10;2022;20.976,88
Ambos sexos;30 Fabricación de otro material de transporte;Percentil 25;2022;28.400
Ambos sexos;30 Fabricación de otro material de transporte;Percentil 50;2022;44.642,16
Ambos sexos;30 Fabricación de otro material de transporte;Percentil 75;2022;59.544,54
Ambos sexos;30 Fabricación de otro material de transporte;Percentil 90;2022;75.559,91
Ambos sexos;31 Fabricación de muebles;Media;2022;22.195,57
Ambos sexos;31 Fabricación de muebles;Percentil 10;2022;14.007,65
Ambos sexos;31 Fabricación de muebles;Percentil 25;2022;16.954,49
Ambos sexos;31 Fabricación de muebles;Percentil 50;2022;20.204,4
Ambos sexos;31 Fabricación de muebles;Percentil 75;2022;25.048,58
Ambos sexos;31 Fabricación de muebles;Percentil 90;2022;32.014,72
Ambos sexos;32 Otras industrias manufactureras;Media;2022;24.224,4
Ambos sexos;32 Otras industrias manufactureras;Percentil 10;2022;12.398,8
Ambos sexos;32 Otras industrias manufactureras;Percentil 25;2022;16.475
Ambos sexos;32 Otras industrias manufactureras;Percentil 50;2022;21.596,02
Ambos sexos;32 Otras industrias manufactureras;Percentil 75;2022;28.127,03
Ambos sexos;32 Otras industrias manufactureras;Percentil 90;2022;39.807,06
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Media;2022;28.777,49
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Percentil 10;2022;15.838,23
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Percentil 25;2022;20.575,68
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Percentil 50;2022;25.914,71
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Percentil 75;2022;33.766,84
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Percentil 90;2022;43.997,9
Ambos sexos;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Media;2022;55.470,69
Ambos sexos;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 10;2022;20.327,15
Ambos sexos;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 25;2022;34.200,24
Ambos sexos;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 50;2022;55.666,14
Ambos sexos;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 75;2022;71.099,25
Ambos sexos;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 90;2022;87.298,61
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Media;2022;55.470,69
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 10;2022;20.327,15
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 25;2022;34.200,24
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 50;2022;55.666,14
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 75;2022;71.099,25
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Percentil 90;2022;87.298,61
Ambos sexos;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Media;2022;30.444,93
Ambos sexos;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Percentil 10;2022;15.794,7
Ambos sexos;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Percentil 25;2022;21.163,27
Ambos sexos;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Percentil 50;2022;28.451,72
Ambos sexos;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Percentil 75;2022;36.680,58
Ambos sexos;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Percentil 90;2022;47.560,8
Ambos sexos;36 Captación, depuración y distribución de agua;Media;2022;35.112,92
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 10;2022;19.262,28
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 25;2022;24.005,44
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 50;2022;31.776,2
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 75;2022;43.064,13
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 90;2022;57.121,23
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Media;2022;28.931,64
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 10;2022;17.380,97
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 25;2022;21.941,15
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 50;2022;26.295,48
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 75;2022;33.501,17
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 90;2022;43.604
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Media;2022;28.567,38
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 10;2022;15.054,05
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 25;2022;19.953,63
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 50;2022;27.335,4
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 75;2022;34.993,97
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 90;2022;42.770,16
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Media;2022;-24.160,09
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 10;2022;-13.439,6
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 25;2022;-17.088,3
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 50;2022;-22.410,52
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 75;2022;-28.919,88
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 90;2022;-35.743,93
Ambos sexos;F Construcción;Media;2022;25.149,41
Ambos sexos;F Construcción;Percentil 10;2022;15.546,66
Ambos sexos;F Construcción;Percentil 25;2022;18.543,01
Ambos sexos;F Construcción;Percentil 50;2022;22.011,66
Ambos sexos;F Construcción;Percentil 75;2022;27.951,37
Ambos sexos;F Construcción;Percentil 90;2022;38.047,06
Ambos sexos;41 Construcción de edificios;Media;2022;25.418,13
Ambos sexos;41 Construcción de edificios;Percentil 10;2022;15.359,08
