Sexo;Rama de actividad CNAE 2009;Tipo de jornada;Unidad;Periodo;Total
Ambos sexos;Total;Total;Valor absoluto;2023T4;21.246,9
Ambos sexos;Total;Total;Valor absoluto;2023T3;21.265,9
Ambos sexos;Total;Total;Valor absoluto;2023T2;21.056,7
Ambos sexos;Total;Total;Valor absoluto;2023T1;20.452,8
Ambos sexos;Total;Total;Valor absoluto;2022T4;20.463,9
Ambos sexos;Total;Total;Valor absoluto;2022T3;20.545,7
Ambos sexos;Total;Total;Valor absoluto;2022T2;20.468
Ambos sexos;Total;Total;Valor absoluto;2022T1;20.084,7
Ambos sexos;Total;Total;Valor absoluto;2021T4;20.184,9
Ambos sexos;Total;Total;Valor absoluto;2021T3;20.031
Ambos sexos;Total;Total;Valor absoluto;2021T2;19.671,7
Ambos sexos;Total;Total;Valor absoluto;2021T1;19.206,8
Ambos sexos;Total;Total;Porcentaje;2023T4;100
Ambos sexos;Total;Total;Porcentaje;2023T3;100
Ambos sexos;Total;Total;Porcentaje;2023T2;100
Ambos sexos;Total;Total;Porcentaje;2023T1;100
Ambos sexos;Total;Total;Porcentaje;2022T4;100
Ambos sexos;Total;Total;Porcentaje;2022T3;100
Ambos sexos;Total;Total;Porcentaje;2022T2;100
Ambos sexos;Total;Total;Porcentaje;2022T1;100
Ambos sexos;Total;Total;Porcentaje;2021T4;100
Ambos sexos;Total;Total;Porcentaje;2021T3;100
Ambos sexos;Total;Total;Porcentaje;2021T2;100
Ambos sexos;Total;Total;Porcentaje;2021T1;100
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2023T4;18.377,6
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2023T3;18.588,7
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2023T2;18.208,9
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2023T1;17.647,4
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2022T4;17.682,2
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2022T3;17.923,7
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2022T2;17.649,8
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2022T1;17.275,5
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2021T4;17.447
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2021T3;17.333,9
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2021T2;16.836,3
Ambos sexos;Total;Jornada a tiempo completo;Valor absoluto;2021T1;16.510,6
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2023T4;86,5
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2023T3;87,4
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2023T2;86,5
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2023T1;86,3
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2022T4;86,4
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2022T3;87,2
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2022T2;86,2
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2022T1;86
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2021T4;86,4
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2021T3;86,5
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2021T2;85,6
Ambos sexos;Total;Jornada a tiempo completo;Porcentaje;2021T1;86
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2023T4;2.869,3
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2023T3;2.677,2
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2023T2;2.847,8
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2023T1;2.805,3
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2022T4;2.781,7
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2022T3;2.622
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2022T2;2.818,3
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2022T1;2.809,3
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2021T4;2.738
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2021T3;2.697,1
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2021T2;2.835,4
Ambos sexos;Total;Jornada a tiempo parcial;Valor absoluto;2021T1;2.696,1
Ambos sexos;Total;Jornada a tiempo parcial;Porcentaje;2023T4;13,5
Ambos sexos;Total;Jornada a tiempo parcial;Porcentaje;2023T3;12,6
