comunidad_autonoma;sector_aeat;asalariados;percepciones_por_persona;salarios_totales_eur;salario_medio_anual_eur
Total Nacional;Total;20637992;1.39;515167196684;24962
Total Nacional;Agricultura, ganadería, silvicultura y pesca;582306;2.40;6652660119;11425
Total Nacional;Industria extractiva, energía y agua;231094;1.17;7856494646;33997
Total Nacional;Industria;1935610;1.17;56818843418;29354
Total Nacional;Construcción y activ. inmobiliarias;1683979;1.31;39418246037;23408
Total Nacional;Comercio, reparaciones y transporte;4467584;1.29;103869098504;23250
Total Nacional;Información y comunicaciones;655102;1.34;25252684189;38548
Total Nacional;Entid. financieras y aseguradoras;385959;1.18;19535042946;50614
Total Nacional;Servicios a las empresas;3092140;1.57;70066766561;22660
Total Nacional;Servicios sociales;4835756;1.27;146172778561;30227
Total Nacional;Otros servicios personales y de ocio;2768461;1.62;39524581703;14277
Andalucía;Total;3751154;1.49;76670695562;20439
Andalucía;Agricultura, ganadería, silvicultura y pesca;273465;2.83;2273684101;8314
Andalucía;Industria extractiva, energía y agua;46932;1.15;1477155234;31474
Andalucía;Industria;244123;1.22;5854575730;23982
Andalucía;Construcción y activ. inmobiliarias;316836;1.38;6319037955;19944
Andalucía;Comercio, reparaciones y transporte;791455;1.32;14872642399;18792
Andalucía;Información y comunicaciones;83431;1.28;2590756130;31053
Andalucía;Entid. financieras y aseguradoras;50396;1.22;2012748150;39939
Andalucía;Servicios a las empresas;465568;1.58;8206735576;17627
Andalucía;Servicios sociales;945499;1.26;26240654016;27753
Andalucía;Otros servicios personales y de ocio;533449;1.62;6822706270;12790
Aragón;Total;639034;1.38;15835014395;24780
Aragón;Agricultura, ganadería, silvicultura y pesca;23967;1.82;379104089;15818
Aragón;Industria extractiva, energía y agua;9123;1.21;288345913;31605
Aragón;Industria;96517;1.14;2867984123;29715
Aragón;Construcción y activ. inmobiliarias;44521;1.30;1122908646;25222
Aragón;Comercio, reparaciones y transporte;131309;1.28;3041739341;23165
Aragón;Información y comunicaciones;13281;1.24;436090992;32837
Aragón;Entid. financieras y aseguradoras;10675;1.20;455010465;42625
Aragón;Servicios a las empresas;86914;1.69;1696866585;19524
Aragón;Servicios sociales;155827;1.26;4624758866;29679
Aragón;Otros servicios personales y de ocio;66901;1.78;922205375;13785
Asturias, Principado de;Total;399369;1.33;10171908032;25470
Asturias, Principado de;Agricultura, ganadería, silvicultura y pesca;2849;1.57;47425454;16644
Asturias, Principado de;Industria extractiva, energía y agua;8588;1.10;326483336;38016
Asturias, Principado de;Industria;43155;1.13;1493661734;34612
Asturias, Principado de;Construcción y activ. inmobiliarias;29688;1.25;762375247;25680
Asturias, Principado de;Comercio, reparaciones y transporte;79393;1.23;1787492867;22515
Asturias, Principado de;Información y comunicaciones;9561;1.23;313317883;32771
Asturias, Principado de;Entid. financieras y aseguradoras;6567;1.20;274349488;41780
Asturias, Principado de;Servicios a las empresas;57415;1.48;1218643490;21225
Asturias, Principado de;Servicios sociales;108654;1.30;3263009221;30031
Asturias, Principado de;Otros servicios personales y de ocio;53499;1.62;685149312;12807
Balears, Illes;Total;599808;1.37;14547747461;24254
Balears, Illes;Agricultura, ganadería, silvicultura y pesca;4540;1.64;71233957;15690
Balears, Illes;Industria extractiva, energía y agua;6540;1.15;254229648;38872
Balears, Illes;Industria;24690;1.25;587828153;23808
Balears, Illes;Construcción y activ. inmobiliarias;66467;1.34;1497263283;22526
Balears, Illes;Comercio, reparaciones y transporte;127680;1.31;2873472245;22505
Balears, Illes;Información y comunicaciones;10323;1.48;349329485;33840
Balears, Illes;Entid. financieras y aseguradoras;7332;1.20;348294981;47506
Balears, Illes;Servicios a las empresas;76054;1.52;1697234932;22316
Balears, Illes;Servicios sociales;111878;1.28;3827231098;34209
Balears, Illes;Otros servicios personales y de ocio;164304;1.45;3041629680;18512
Canarias;Total;1001690;1.39;21665598792;21629
Canarias;Agricultura, ganadería, silvicultura y pesca;12559;1.54;182000491;14491
Canarias;Industria extractiva, energía y agua;10488;1.16;297094551;28328
Canarias;Industria;35057;1.25;779638166;22239
Canarias;Construcción y activ. inmobiliarias;89184;1.35;1683188309;18873
Canarias;Comercio, reparaciones y transporte;242027;1.33;4691039815;19382
Canarias;Información y comunicaciones;18489;1.65;480185013;25971
Canarias;Entid. financieras y aseguradoras;13073;1.23;505496856;38666
Canarias;Servicios a las empresas;127186;1.65;2196040127;17266
Canarias;Servicios sociales;239377;1.21;7404391424;30932
Canarias;Otros servicios personales y de ocio;214249;1.56;3446524038;16087
Cantabria;Total;244688;1.32;5820444083;23787
Cantabria;Agricultura, ganadería, silvicultura y pesca;2350;1.41;49040555;20871
Cantabria;Industria extractiva, energía y agua;3006;1.10;100166065;33317
Cantabria;Industria;29791;1.13;924696581;31040
Cantabria;Construcción y activ. inmobiliarias;18360;1.23;426862749;23250
Cantabria;Comercio, reparaciones y transporte;48037;1.23;1036165571;21570
Cantabria;Información y comunicaciones;5234;1.23;157316166;30054
Cantabria;Entid. financieras y aseguradoras;3323;1.23;140825267;42384
Cantabria;Servicios a las empresas;33327;1.54;647428277;19426
Cantabria;Servicios sociales;64621;1.27;1864064496;28846
Cantabria;Otros servicios personales y de ocio;36639;1.56;473878356;12934
Castilla y León;Total;1022002;1.37;24247235055;23725
Castilla y León;Agricultura, ganadería, silvicultura y pesca;28769;1.61;429868197;14942
Castilla y León;Industria extractiva, energía y agua;12073;1.17;384766575;31870
Castilla y León;Industria;134581;1.15;3877125860;28809
Castilla y León;Construcción y activ. inmobiliarias;66738;1.28;1550356144;23230
Castilla y León;Comercio, reparaciones y transporte;194325;1.25;4155434692;21384
Castilla y León;Información y comunicaciones;19616;1.25;630256430;32129
Castilla y León;Entid. financieras y aseguradoras;17143;1.17;682614356;39819
Castilla y León;Servicios a las empresas;126744;1.65;2350424364;18545
Castilla y León;Servicios sociales;311502;1.32;8790922277;28221
Castilla y León;Otros servicios personales y de ocio;110510;1.71;1395466157;12628
Castilla - La Mancha;Total;937861;1.42;20809341449;22188
Castilla - La Mancha;Agricultura, ganadería, silvicultura y pesca;46541;2.36;562433238;12085
Castilla - La Mancha;Industria extractiva, energía y agua;10368;1.21;309866394;29886
Castilla - La Mancha;Industria;115712;1.18;2858297336;24702
Castilla - La Mancha;Construcción y activ. inmobiliarias;81135;1.31;1744541977;21502
Castilla - La Mancha;Comercio, reparaciones y transporte;195070;1.29;4090928641;20972
Castilla - La Mancha;Información y comunicaciones;19213;1.29;607986041;31645
Castilla - La Mancha;Entid. financieras y aseguradoras;13387;1.22;512103695;38254
Castilla - La Mancha;Servicios a las empresas;120642;1.73;2143571486;17768
Castilla - La Mancha;Servicios sociales;240519;1.24;6858909526;28517
Castilla - La Mancha;Otros servicios personales y de ocio;95274;1.74;1120703115;11763
Cataluña;Total;3806538;1.36;106306839540;27927
Cataluña;Agricultura, ganadería, silvicultura y pesca;43253;1.84;683881430;15811
Cataluña;Industria extractiva, energía y agua;35859;1.18;1203153703;33552
Cataluña;Industria;460635;1.14;16038875658;34819
Cataluña;Construcción y activ. inmobiliarias;290173;1.28;7520017994;25916
Cataluña;Comercio, reparaciones y transporte;835009;1.28;22367283221;26787
Cataluña;Información y comunicaciones;135894;1.39;5586593882;41110
Cataluña;Entid. financieras y aseguradoras;68110;1.19;3389066035;49759
Cataluña;Servicios a las empresas;656172;1.57;16435223916;25047
Cataluña;Servicios sociales;795280;1.31;25436379388;31984
Cataluña;Otros servicios personales y de ocio;486152;1.59;7646364313;15728
Comunitat Valenciana;Total;2287883;1.36;52535073948;22962
Comunitat Valenciana;Agricultura, ganadería, silvicultura y pesca;30932;1.97;428824316;13863
Comunitat Valenciana;Industria extractiva, energía y agua;28487;1.19;781162102;27421
Comunitat Valenciana;Industria;280220;1.17;7174384636;25603
Comunitat Valenciana;Construcción y activ. inmobiliarias;180658;1.29;3835029122;21228
Comunitat Valenciana;Comercio, reparaciones y transporte;562800;1.27;12204010713;21684
Comunitat Valenciana;Información y comunicaciones;55713;1.28;1686774027;30276
Comunitat Valenciana;Entid. financieras y aseguradoras;33082;1.21;1334871530;40350
Comunitat Valenciana;Servicios a las empresas;297587;1.60;5751983949;19329
Comunitat Valenciana;Servicios sociales;495701;1.27;15330155199;30926
Comunitat Valenciana;Otros servicios personales y de ocio;322702;1.61;4007878355;12420
Extremadura;Total;450509;1.51;8664301227;19232
Extremadura;Agricultura, ganadería, silvicultura y pesca;33585;2.88;298168605;8878
Extremadura;Industria extractiva, energía y agua;6180;1.25;157592136;25502
Extremadura;Industria;33903;1.26;674905605;19907
Extremadura;Construcción y activ. inmobiliarias;71503;1.22;1825402640;25529
Extremadura;Comercio, reparaciones y transporte;78724;1.37;1326553953;16851
Extremadura;Información y comunicaciones;6880;1.28;185556903;26969
Extremadura;Entid. financieras y aseguradoras;6104;1.21;212963911;34888
Extremadura;Servicios a las empresas;45419;1.62;794665382;17496
Extremadura;Servicios sociales;122976;1.33;2705136299;21997
Extremadura;Otros servicios personales y de ocio;45234;1.88;483355793;10686
Galicia;Total;1106738;1.32;26818319793;24232
Galicia;Agricultura, ganadería, silvicultura y pesca;24112;1.38;479206450;19874
Galicia;Industria extractiva, energía y agua;10630;1.14;345736897;32525
Galicia;Industria;133570;1.15;3643389712;27277
Galicia;Construcción y activ. inmobiliarias;82212;1.22;1966262032;23917
Galicia;Comercio, reparaciones y transporte;241106;1.22;5676080800;23542
Galicia;Información y comunicaciones;27876;1.32;852695893;30589
Galicia;Entid. financieras y aseguradoras;19298;1.19;767839701;39788
Galicia;Servicios a las empresas;147960;1.56;2866900408;19376
Galicia;Servicios sociales;286016;1.23;8538080527;29852
Galicia;Otros servicios personales y de ocio;133957;1.69;1682127374;12557
Madrid, Comunidad de;Total;3476015;1.36;110923709204;31911
Madrid, Comunidad de;Agricultura, ganadería, silvicultura y pesca;12350;1.96;176310775;14276
Madrid, Comunidad de;Industria extractiva, energía y agua;32959;1.15;1645824611;49935
Madrid, Comunidad de;Industria;194902;1.17;7342715534;37674
Madrid, Comunidad de;Construcción y activ. inmobiliarias;279726;1.31;7780594177;27815
Madrid, Comunidad de;Comercio, reparaciones y transporte;714340;1.28;21511107721;30113
Madrid, Comunidad de;Información y comunicaciones;236172;1.35;11002296550;46586
Madrid, Comunidad de;Entid. financieras y aseguradoras;126906;1.15;8484175989;66854
Madrid, Comunidad de;Servicios a las empresas;734203;1.48;22088783474;30085
Madrid, Comunidad de;Servicios sociales;740272;1.29;24207777509;32701
Madrid, Comunidad de;Otros servicios personales y de ocio;404186;1.63;6684122864;16537
Murcia, Región de;Total;705762;1.43;15161540489;21483
Murcia, Región de;Agricultura, ganadería, silvicultura y pesca;37071;2.11;532071151;14353
Murcia, Región de;Industria extractiva, energía y agua;7972;1.26;225446347;28281
Murcia, Región de;Industria;82088;1.18;2007067383;24450
Murcia, Región de;Construcción y activ. inmobiliarias;52295;1.35;1061883178;20306
Murcia, Región de;Comercio, reparaciones y transporte;189262;1.32;3479589214;18385
Murcia, Región de;Información y comunicaciones;10129;1.26;278306170;27476
Murcia, Región de;Entid. financieras y aseguradoras;7972;1.22;310520967;38950
Murcia, Región de;Servicios a las empresas;90597;1.81;1505027653;16612
Murcia, Región de;Servicios sociales;152091;1.22;4957100907;32593
Murcia, Región de;Otros servicios personales y de ocio;76286;1.71;804527518;10546
Rioja, La;Total;138691;1.39;3212275063;23161
Rioja, La;Agricultura, ganadería, silvicultura y pesca;5219;2.53;51592953;9885
Rioja, La;Industria extractiva, energía y agua;1390;1.25;39270039;28247
Rioja, La;Industria;25125;1.15;669862808;26661
Rioja, La;Construcción y activ. inmobiliarias;8789;1.23;214452949;24400
Rioja, La;Comercio, reparaciones y transporte;25869;1.25;559485165;21628
Rioja, La;Información y comunicaciones;2510;1.23;75642273;30133
Rioja, La;Entid. financieras y aseguradoras;1953;1.17;78758505;40325
Rioja, La;Servicios a las empresas;16632;1.67;299130906;17986
Rioja, La;Servicios sociales;35427;1.27;1030862119;29099
Rioja, La;Otros servicios personales y de ocio;15777;1.76;193217347;12247
Ceuta;Total;34701;1.34;903655840;26041
Ceuta;Agricultura, ganadería, silvicultura y pesca;347;2.59;4227848;12168
Ceuta;Industria extractiva, energía y agua;239;1.18;11260866;47102
Ceuta;Industria;719;1.27;11939851;16616
Ceuta;Construcción y activ. inmobiliarias;2811;1.47;62906988;22375
Ceuta;Comercio, reparaciones y transporte;5954;1.32;107858621;18116
Ceuta;Información y comunicaciones;311;1.37;8550834;27524
Ceuta;Entid. financieras y aseguradoras;370;1.19;15905989;43000
Ceuta;Servicios a las empresas;4103;1.66;70637095;17214
Ceuta;Servicios sociales;15226;1.15;549663727;36100
Ceuta;Otros servicios personales y de ocio;4621;1.54;60704021;13138
Melilla;Total;35549;1.40;873496751;24572
Melilla;Agricultura, ganadería, silvicultura y pesca;397;3.84;3586510;9025
Melilla;Industria extractiva, energía y agua;259;1.29;8940230;34539
Melilla;Industria;823;1.42;11894548;14449
Melilla;Construcción y activ. inmobiliarias;2882;1.59;45162648;15671
Melilla;Comercio, reparaciones y transporte;5222;1.39;88213524;16892
Melilla;Información y comunicaciones;468;1.40;11029517;23580
Melilla;Entid. financieras y aseguradoras;269;1.42;9497060;35243
Melilla;Servicios a las empresas;5616;1.61;97468940;17355
Melilla;Servicios sociales;14892;1.15;543681960;36509
Melilla;Otros servicios personales y de ocio;4720;1.66;54021813;11445
