sector;tipo_jornada;periodo;coste_salarial_eur_mes;coste_hora_efectiva_eur;anio;trimestre
Hostelería;Ambas jornadas;2008T1;1062.62;8.04;2008;1
Hostelería;Ambas jornadas;2008T2;1130.11;8.29;2008;2
Hostelería;Ambas jornadas;2008T3;1148.56;8.65;2008;3
Hostelería;Ambas jornadas;2008T4;1255.09;9.48;2008;4
Hostelería;Ambas jornadas;2009T1;1086.92;8.14;2009;1
Hostelería;Ambas jornadas;2009T2;1150.4;8.64;2009;2
Hostelería;Ambas jornadas;2009T3;1149.89;8.66;2009;3
Hostelería;Ambas jornadas;2009T4;1227.62;9.42;2009;4
Hostelería;Ambas jornadas;2010T1;1067.41;8.32;2010;1
Hostelería;Ambas jornadas;2010T2;1137.34;8.79;2010;2
Hostelería;Ambas jornadas;2010T3;1138.36;8.8;2010;3
Hostelería;Ambas jornadas;2010T4;1207.32;9.86;2010;4
Hostelería;Ambas jornadas;2011T1;1048.38;8.44;2011;1
Hostelería;Ambas jornadas;2011T2;1134.92;9.09;2011;2
Hostelería;Ambas jornadas;2011T3;1147.72;9.26;2011;3
Hostelería;Ambas jornadas;2011T4;1191.56;10.12;2011;4
Hostelería;Ambas jornadas;2012T1;1039.98;8.56;2012;1
Hostelería;Ambas jornadas;2012T2;1109.39;9.05;2012;2
Hostelería;Ambas jornadas;2012T3;1110.24;9.08;2012;3
Hostelería;Ambas jornadas;2012T4;1154.24;10.15;2012;4
Hostelería;Ambas jornadas;2013T1;1017.02;8.7;2013;1
Hostelería;Ambas jornadas;2013T2;1104.64;9.08;2013;2
Hostelería;Ambas jornadas;2013T3;1132.5;9.24;2013;3
Hostelería;Ambas jornadas;2013T4;1181.29;10.34;2013;4
Hostelería;Ambas jornadas;2014T1;1033.33;8.8;2014;1
Hostelería;Ambas jornadas;2014T2;1113.67;9.34;2014;2
Hostelería;Ambas jornadas;2014T3;1129.03;9.44;2014;3
Hostelería;Ambas jornadas;2014T4;1175.12;10.29;2014;4
Hostelería;Ambas jornadas;2015T1;1051.91;9.05;2015;1
Hostelería;Ambas jornadas;2015T2;1132.63;9.45;2015;2
Hostelería;Ambas jornadas;2015T3;1149.32;9.4;2015;3
Hostelería;Ambas jornadas;2015T4;1178.96;10.27;2015;4
Hostelería;Ambas jornadas;2016T1;1044.86;9.11;2016;1
Hostelería;Ambas jornadas;2016T2;1120.62;9.17;2016;2
Hostelería;Ambas jornadas;2016T3;1139.1;9.3;2016;3
Hostelería;Ambas jornadas;2016T4;1193.9;10.33;2016;4
Hostelería;Ambas jornadas;2017T1;1056.27;8.94;2017;1
Hostelería;Ambas jornadas;2017T2;1146.68;9.41;2017;2
Hostelería;Ambas jornadas;2017T3;1172.72;9.41;2017;3
Hostelería;Ambas jornadas;2017T4;1187.7;10.39;2017;4
Hostelería;Ambas jornadas;2018T1;1070.96;9.32;2018;1
Hostelería;Ambas jornadas;2018T2;1161.65;9.6;2018;2
Hostelería;Ambas jornadas;2018T3;1185.11;9.68;2018;3
Hostelería;Ambas jornadas;2018T4;1211.85;10.54;2018;4
Hostelería;Ambas jornadas;2019T1;1099.74;9.47;2019;1
Hostelería;Ambas jornadas;2019T2;1159.13;9.79;2019;2
Hostelería;Ambas jornadas;2019T3;1214.85;10.06;2019;3
Hostelería;Ambas jornadas;2019T4;1229.18;10.76;2019;4
Hostelería;Ambas jornadas;2020T1;1015.41;9.94;2020;1
Hostelería;Ambas jornadas;2020T2;433.76;9.78;2020;2
Hostelería;Ambas jornadas;2020T3;892.41;9.67;2020;3
Hostelería;Ambas jornadas;2020T4;784.15;10.37;2020;4
Hostelería;Ambas jornadas;2021T1;685.93;9.73;2021;1
Hostelería;Ambas jornadas;2021T2;885.86;9.47;2021;2
Hostelería;Ambas jornadas;2021T3;1139.51;9.92;2021;3
Hostelería;Ambas jornadas;2021T4;1199.94;10.77;2021;4
Hostelería;Ambas jornadas;2022T1;1150.73;10.01;2022;1
Hostelería;Ambas jornadas;2022T2;1242.84;10.25;2022;2
Hostelería;Ambas jornadas;2022T3;1314.59;10.4;2022;3
Hostelería;Ambas jornadas;2022T4;1351.64;11.65;2022;4
Hostelería;Ambas jornadas;2023T1;1252.16;10.47;2023;1
Hostelería;Ambas jornadas;2023T2;1339.04;10.89;2023;2
Hostelería;Ambas jornadas;2023T3;1368.84;10.99;2023;3
Hostelería;Ambas jornadas;2023T4;1379.29;12.07;2023;4
Hostelería;Ambas jornadas;2024T1;1309.45;11.2;2024;1
Hostelería;Ambas jornadas;2024T2;1404.54;11.31;2024;2
Hostelería;Ambas jornadas;2024T3;1436.3;11.65;2024;3
Hostelería;Ambas jornadas;2024T4;1444.21;12.34;2024;4
Hostelería;Ambas jornadas;2025T1;1342.75;11.41;2025;1
Hostelería;Ambas jornadas;2025T2;1424.67;11.71;2025;2
Hostelería;Ambas jornadas;2025T3;1476.74;11.92;2025;3
Hostelería;Ambas jornadas;2025T4;1488.04;12.68;2025;4
Hostelería;Ambas jornadas;2026T1;1357.32;11.49;2026;1
Hostelería;Jornada a tiempo completo;2008T1;1269.43;8.15;2008;1
Hostelería;Jornada a tiempo completo;2008T2;1344.02;8.44;2008;2
Hostelería;Jornada a tiempo completo;2008T3;1334.23;8.76;2008;3
Hostelería;Jornada a tiempo completo;2008T4;1494.56;9.62;2008;4
Hostelería;Jornada a tiempo completo;2009T1;1304.6;8.24;2009;1
Hostelería;Jornada a tiempo completo;2009T2;1382.68;8.77;2009;2
Hostelería;Jornada a tiempo completo;2009T3;1355.85;8.85;2009;3
Hostelería;Jornada a tiempo completo;2009T4;1484.58;9.59;2009;4
Hostelería;Jornada a tiempo completo;2010T1;1331.26;8.56;2010;1
Hostelería;Jornada a tiempo completo;2010T2;1424.15;9.06;2010;2
Hostelería;Jornada a tiempo completo;2010T3;1391.87;8.97;2010;3
Hostelería;Jornada a tiempo completo;2010T4;1533.14;10.11;2010;4
Hostelería;Jornada a tiempo completo;2011T1;1369.45;8.69;2011;1
Hostelería;Jornada a tiempo completo;2011T2;1479.51;9.4;2011;2
Hostelería;Jornada a tiempo completo;2011T3;1445.65;9.54;2011;3
Hostelería;Jornada a tiempo completo;2011T4;1582.54;10.46;2011;4
Hostelería;Jornada a tiempo completo;2012T1;1393.51;8.85;2012;1
Hostelería;Jornada a tiempo completo;2012T2;1474.37;9.39;2012;2
Hostelería;Jornada a tiempo completo;2012T3;1423.74;9.33;2012;3
Hostelería;Jornada a tiempo completo;2012T4;1583.5;10.51;2012;4
Hostelería;Jornada a tiempo completo;2013T1;1394.78;8.95;2013;1
Hostelería;Jornada a tiempo completo;2013T2;1500.3;9.4;2013;2
Hostelería;Jornada a tiempo completo;2013T3;1464.7;9.52;2013;3
Hostelería;Jornada a tiempo completo;2013T4;1636.25;10.79;2013;4
Hostelería;Jornada a tiempo completo;2014T1;1413.78;8.95;2014;1
Hostelería;Jornada a tiempo completo;2014T2;1513.89;9.62;2014;2
Hostelería;Jornada a tiempo completo;2014T3;1480.51;9.74;2014;3
Hostelería;Jornada a tiempo completo;2014T4;1641.84;10.67;2014;4
Hostelería;Jornada a tiempo completo;2015T1;1455.91;9.21;2015;1
Hostelería;Jornada a tiempo completo;2015T2;1537.06;9.75;2015;2
Hostelería;Jornada a tiempo completo;2015T3;1482.65;9.65;2015;3
Hostelería;Jornada a tiempo completo;2015T4;1631.25;10.6;2015;4
Hostelería;Jornada a tiempo completo;2016T1;1437.86;9.23;2016;1
Hostelería;Jornada a tiempo completo;2016T2;1515.91;9.4;2016;2
Hostelería;Jornada a tiempo completo;2016T3;1474.84;9.49;2016;3
Hostelería;Jornada a tiempo completo;2016T4;1623.51;10.59;2016;4
Hostelería;Jornada a tiempo completo;2017T1;1456.37;9.21;2017;1
Hostelería;Jornada a tiempo completo;2017T2;1533.19;9.64;2017;2
Hostelería;Jornada a tiempo completo;2017T3;1487.71;9.61;2017;3
Hostelería;Jornada a tiempo completo;2017T4;1617.01;10.65;2017;4
Hostelería;Jornada a tiempo completo;2018T1;1485.62;9.49;2018;1
Hostelería;Jornada a tiempo completo;2018T2;1575.28;9.9;2018;2
Hostelería;Jornada a tiempo completo;2018T3;1508.17;9.84;2018;3
Hostelería;Jornada a tiempo completo;2018T4;1653.17;10.81;2018;4
