comunidad_autonoma;sector_aeat;asalariados;percepciones_por_persona;salarios_totales_eur;salario_medio_anual_eur;sector;es_aproximacion
Total Nacional;Total;20637992;1.39;515167196684;24962;Total (todos los sectores);False
Total Nacional;Información y comunicaciones;655102;1.34;25252684189;38548;Información y comunicaciones;False
Total Nacional;Otros servicios personales y de ocio;2768461;1.62;39524581703;14277;Hostelería y ocio (aproximación AEAT);True
Andalucía;Total;3751154;1.49;76670695562;20439;Total (todos los sectores);False
Andalucía;Información y comunicaciones;83431;1.28;2590756130;31053;Información y comunicaciones;False
Andalucía;Otros servicios personales y de ocio;533449;1.62;6822706270;12790;Hostelería y ocio (aproximación AEAT);True
Aragón;Total;639034;1.38;15835014395;24780;Total (todos los sectores);False
Aragón;Información y comunicaciones;13281;1.24;436090992;32837;Información y comunicaciones;False
Aragón;Otros servicios personales y de ocio;66901;1.78;922205375;13785;Hostelería y ocio (aproximación AEAT);True
Asturias, Principado de;Total;399369;1.33;10171908032;25470;Total (todos los sectores);False
Asturias, Principado de;Información y comunicaciones;9561;1.23;313317883;32771;Información y comunicaciones;False
Asturias, Principado de;Otros servicios personales y de ocio;53499;1.62;685149312;12807;Hostelería y ocio (aproximación AEAT);True
Balears, Illes;Total;599808;1.37;14547747461;24254;Total (todos los sectores);False
Balears, Illes;Información y comunicaciones;10323;1.48;349329485;33840;Información y comunicaciones;False
Balears, Illes;Otros servicios personales y de ocio;164304;1.45;3041629680;18512;Hostelería y ocio (aproximación AEAT);True
Canarias;Total;1001690;1.39;21665598792;21629;Total (todos los sectores);False
Canarias;Información y comunicaciones;18489;1.65;480185013;25971;Información y comunicaciones;False
Canarias;Otros servicios personales y de ocio;214249;1.56;3446524038;16087;Hostelería y ocio (aproximación AEAT);True
Cantabria;Total;244688;1.32;5820444083;23787;Total (todos los sectores);False
Cantabria;Información y comunicaciones;5234;1.23;157316166;30054;Información y comunicaciones;False
Cantabria;Otros servicios personales y de ocio;36639;1.56;473878356;12934;Hostelería y ocio (aproximación AEAT);True
Castilla y León;Total;1022002;1.37;24247235055;23725;Total (todos los sectores);False
Castilla y León;Información y comunicaciones;19616;1.25;630256430;32129;Información y comunicaciones;False
Castilla y León;Otros servicios personales y de ocio;110510;1.71;1395466157;12628;Hostelería y ocio (aproximación AEAT);True
Castilla - La Mancha;Total;937861;1.42;20809341449;22188;Total (todos los sectores);False
Castilla - La Mancha;Información y comunicaciones;19213;1.29;607986041;31645;Información y comunicaciones;False
Castilla - La Mancha;Otros servicios personales y de ocio;95274;1.74;1120703115;11763;Hostelería y ocio (aproximación AEAT);True
Cataluña;Total;3806538;1.36;106306839540;27927;Total (todos los sectores);False
Cataluña;Información y comunicaciones;135894;1.39;5586593882;41110;Información y comunicaciones;False
Cataluña;Otros servicios personales y de ocio;486152;1.59;7646364313;15728;Hostelería y ocio (aproximación AEAT);True
Comunitat Valenciana;Total;2287883;1.36;52535073948;22962;Total (todos los sectores);False
Comunitat Valenciana;Información y comunicaciones;55713;1.28;1686774027;30276;Información y comunicaciones;False
Comunitat Valenciana;Otros servicios personales y de ocio;322702;1.61;4007878355;12420;Hostelería y ocio (aproximación AEAT);True
Extremadura;Total;450509;1.51;8664301227;19232;Total (todos los sectores);False
Extremadura;Información y comunicaciones;6880;1.28;185556903;26969;Información y comunicaciones;False
Extremadura;Otros servicios personales y de ocio;45234;1.88;483355793;10686;Hostelería y ocio (aproximación AEAT);True
Galicia;Total;1106738;1.32;26818319793;24232;Total (todos los sectores);False
Galicia;Información y comunicaciones;27876;1.32;852695893;30589;Información y comunicaciones;False
Galicia;Otros servicios personales y de ocio;133957;1.69;1682127374;12557;Hostelería y ocio (aproximación AEAT);True
Madrid, Comunidad de;Total;3476015;1.36;110923709204;31911;Total (todos los sectores);False
Madrid, Comunidad de;Información y comunicaciones;236172;1.35;11002296550;46586;Información y comunicaciones;False
Madrid, Comunidad de;Otros servicios personales y de ocio;404186;1.63;6684122864;16537;Hostelería y ocio (aproximación AEAT);True
Murcia, Región de;Total;705762;1.43;15161540489;21483;Total (todos los sectores);False
Murcia, Región de;Información y comunicaciones;10129;1.26;278306170;27476;Información y comunicaciones;False
Murcia, Región de;Otros servicios personales y de ocio;76286;1.71;804527518;10546;Hostelería y ocio (aproximación AEAT);True
Rioja, La;Total;138691;1.39;3212275063;23161;Total (todos los sectores);False
Rioja, La;Información y comunicaciones;2510;1.23;75642273;30133;Información y comunicaciones;False
Rioja, La;Otros servicios personales y de ocio;15777;1.76;193217347;12247;Hostelería y ocio (aproximación AEAT);True
Ceuta;Total;34701;1.34;903655840;26041;Total (todos los sectores);False
Ceuta;Información y comunicaciones;311;1.37;8550834;27524;Información y comunicaciones;False
Ceuta;Otros servicios personales y de ocio;4621;1.54;60704021;13138;Hostelería y ocio (aproximación AEAT);True
Melilla;Total;35549;1.4;873496751;24572;Total (todos los sectores);False
Melilla;Información y comunicaciones;468;1.4;11029517;23580;Información y comunicaciones;False
Melilla;Otros servicios personales y de ocio;4720;1.66;54021813;11445;Hostelería y ocio (aproximación AEAT);True
