sector;tipo_jornada;unidad;periodo;valor
Total nacional;Total;Valor absoluto;2026T2;22779.0
Total nacional;Total;Valor absoluto;2026T1;22293.0
Total nacional;Total;Valor absoluto;2025T4;22463.3
Total nacional;Total;Valor absoluto;2025T3;22387.1
Total nacional;Total;Valor absoluto;2025T2;22268.7
Total nacional;Total;Valor absoluto;2025T1;21765.4
Total nacional;Total;Valor absoluto;2024T4;21857.9
Total nacional;Total;Valor absoluto;2024T3;21823.0
Total nacional;Total;Valor absoluto;2024T2;21684.7
Total nacional;Total;Valor absoluto;2024T1;21250.0
Total nacional;Total;Valor absoluto;2023T4;21389.7
Total nacional;Total;Valor absoluto;2023T3;21446.5
Total nacional;Total;Valor absoluto;2023T2;21258.4
Total nacional;Total;Valor absoluto;2023T1;20634.2
Total nacional;Total;Valor absoluto;2022T4;20640.7
Total nacional;Total;Valor absoluto;2022T3;20745.4
Total nacional;Total;Valor absoluto;2022T2;20607.2
Total nacional;Total;Valor absoluto;2022T1;20196.7
Total nacional;Total;Valor absoluto;2021T4;20274.8
Total nacional;Total;Valor absoluto;2021T3;20103.3
Total nacional;Total;Valor absoluto;2021T2;19716.1
Total nacional;Total;Valor absoluto;2021T1;19239.6
Total nacional;Total;Valor absoluto;2020T4;19344.3
Total nacional;Total;Valor absoluto;2020T3;19176.9
Total nacional;Total;Valor absoluto;2020T2;18607.2
Total nacional;Total;Valor absoluto;2020T1;19681.3
Total nacional;Total;Valor absoluto;2019T4;19966.9
Total nacional;Total;Valor absoluto;2019T3;19874.3
Total nacional;Total;Valor absoluto;2019T2;19804.9
Total nacional;Total;Valor absoluto;2019T1;19471.1
Total nacional;Total;Valor absoluto;2018T4;19564.6
Total nacional;Total;Valor absoluto;2018T3;19528.0
Total nacional;Total;Valor absoluto;2018T2;19344.1
Total nacional;Total;Valor absoluto;2018T1;18874.2
Total nacional;Total;Valor absoluto;2017T4;18998.4
Total nacional;Total;Valor absoluto;2017T3;19049.2
Total nacional;Total;Valor absoluto;2017T2;18813.3
Total nacional;Total;Valor absoluto;2017T1;18438.3
Total nacional;Total;Valor absoluto;2016T4;18508.1
Total nacional;Total;Valor absoluto;2016T3;18527.5
Total nacional;Total;Valor absoluto;2016T2;18301.0
Total nacional;Total;Valor absoluto;2016T1;18029.6
